run_tag,batch_size,concurrency,rounds,total_requests,success,failed,total_wall_time_ms,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,throughput_batch_per_sec,throughput_device_per_sec
1781783147726,10,1,20,20,20,0,1028.669,51.377,44.884,114.004,125.132,19.443,194.426
1781783147726,10,2,20,40,40,0,1406.035,67.432,46.680,141.977,143.119,28.449,284.488
1781783147726,10,4,20,80,80,0,1823.671,82.640,77.455,112.462,197.452,43.868,438.676
1781783147726,10,8,20,160,160,0,3095.531,134.810,128.569,193.743,214.816,51.687,516.874
1781783147726,10,16,20,320,320,0,6251.801,281.721,264.851,370.145,431.482,51.185,511.853
1781783147726,10,32,20,640,640,0,10236.814,460.270,455.556,582.335,726.221,62.519,625.194
1781783147726,25,1,20,20,20,0,1456.395,72.803,63.012,99.369,155.213,13.733,343.313
1781783147726,25,2,20,40,40,0,1597.296,77.331,77.686,97.425,107.278,25.042,626.058
1781783147726,25,4,20,80,80,0,2998.243,142.634,131.090,217.120,225.801,26.682,667.057
1781783147726,25,8,20,160,160,0,5474.627,259.835,238.687,350.547,363.382,29.226,730.643
1781783147726,25,16,20,320,320,0,10119.208,475.564,461.764,599.783,705.547,31.623,790.576
1781783147726,25,32,20,640,640,0,18607.047,839.623,813.041,997.481,1205.408,34.396,859.889
1781783147726,50,1,20,20,20,0,2512.031,125.590,114.918,212.633,222.472,7.962,398.084
1781783147726,50,2,20,40,40,0,3053.010,149.909,135.225,207.741,227.849,13.102,655.091
1781783147726,50,4,20,80,80,0,4959.733,237.404,222.630,325.489,351.243,16.130,806.495
1781783147726,50,8,20,160,160,0,8870.424,420.707,399.470,532.125,578.190,18.037,901.873
1781783147726,50,16,20,320,320,0,16129.760,777.066,784.661,884.204,990.176,19.839,991.955
1781783147726,50,32,20,640,640,0,33393.715,1614.285,1591.040,1827.964,1941.856,19.165,958.264
1781783147726,100,1,20,20,20,0,4151.102,207.543,197.851,291.671,292.147,4.818,481.800
1781783147726,100,2,20,40,40,0,5046.728,249.562,234.569,341.671,356.261,7.926,792.593
1781783147726,100,4,20,80,80,0,8992.141,440.912,429.830,534.218,539.400,8.897,889.666
1781783147726,100,8,20,160,160,0,16352.424,800.266,813.940,881.515,896.308,9.784,978.448
1781783147726,100,16,20,320,320,0,34304.769,1674.855,1660.701,1810.649,1833.425,9.328,932.815
1781783147726,100,32,20,640,640,0,63177.828,3084.717,3073.042,3425.735,3504.789,10.130,1013.014
1781783147726,200,1,20,20,20,0,7099.094,354.926,343.955,428.796,470.832,2.817,563.452
1781783147726,200,2,20,40,40,0,8325.232,411.587,413.299,511.578,516.231,4.805,960.934
1781783147726,200,4,20,80,80,0,16431.517,808.783,834.824,873.671,887.513,4.869,973.738
1781783147726,200,8,20,160,160,0,30019.598,1475.346,1482.092,1602.047,1784.987,5.330,1065.970
1781783147726,200,16,20,320,320,0,58747.608,2892.953,2905.514,3041.915,3067.626,5.447,1089.406
1781783147726,200,32,20,640,640,0,124271.417,6111.909,6110.478,6531.348,6606.138,5.150,1030.004
